iter,time,reward,steps,convergence,algo
1,0.093363752,-193.62,194.88,79.8,Poilcy Iteration
2,0.176391412,-5.88,41.26,50.25073722,Poilcy Iteration
3,0.217370631,37.08,25.88,69.84130652,Poilcy Iteration
4,0.260071268,38.62,25.68,61.28549942,Poilcy Iteration
5,0.307251665,36.42,25.56,22.25457199,Poilcy Iteration
6,0.355403659,38.28,25.44,19.90458189,Poilcy Iteration
7,0.400952186,35.58,26.98,17.45316565,Poilcy Iteration
8,0.437312149,39.62,26.42,7.039028927,Poilcy Iteration
9,0.46287376,37.74,28.12,5.28940857,Poilcy Iteration
10,0.495779088,48.66,46.5,3.08874611,Poilcy Iteration
11,0.544813696,47.36,48.48,0.885577976,Poilcy Iteration
12,0.551974979,43.06,48.98,0.000880155,Poilcy Iteration
13,0.561145045,41.64,46.66,0.000839539,Poilcy Iteration
14,0.56880078,49.36,46.88,0.000768672,Poilcy Iteration
15,0.577141627,49.24,48.92,0.000714101,Poilcy Iteration
16,0.58433267,48.66,47.36,0.000607536,Poilcy Iteration
17,0.591424047,46.34,48.74,0.000478988,Poilcy Iteration
18,0.600777165,46.48,49.18,0.000354276,Poilcy Iteration
19,0.609543557,47.36,48.3,0.000248345,Poilcy Iteration
20,0.619189498,48.96,48.62,0.000166457,Poilcy Iteration
21,0.627644417,49.8,48.18,0.000107566,Poilcy Iteration
22,0.636262642,48.46,49.34,6.76E-05,Poilcy Iteration
23,0.643471117,42.92,49.52,4.17E-05,Poilcy Iteration
24,0.652205656,48.18,47.26,2.56E-05,Poilcy Iteration
25,0.662884157,45.74,47.2,1.58E-05,Poilcy Iteration
26,0.675137688,47.94,47.9,9.98E-06,Poilcy Iteration
27,0.678781981,45.24,47.34,6.51E-06,Poilcy Iteration
28,0.682428803,46.74,48.88,4.40E-06,Poilcy Iteration
29,0.687345572,48.24,47.24,3.07E-06,Poilcy Iteration
30,0.692793358,50.26,46.74,2.20E-06,Poilcy Iteration
31,0.696999329,48.16,47.32,1.59E-06,Poilcy Iteration
32,0.702754507,46.5,48,1.15E-06,Poilcy Iteration
33,0.711134432,46.42,46.7,8.24E-07,Poilcy Iteration
