iter,time,reward,steps,convergence
1,0.0010393529999959128,-282.42,199.6,91.71659714413704
2,0.001665009999996414,-265.7,200.0,89.84352695413705
3,0.0028835659999941754,-268.8,198.3,80.17836995449429
4,0.00396995399999156,-201.68,195.84,77.4285991740143
5,0.004869671999990999,-206.3,200.0,70.9524727046302
6,0.005936988999991399,-209.18,183.14,67.69424893103916
7,0.007005116999991401,-243.0,195.96,61.177204678184104
8,0.007747529999996061,-218.98,195.62,60.2583865781841
9,0.00866845099999125,-177.66,178.7,59.15278724684232
10,0.00878589399998475,-190.42,194.88,53.74030106928801
11,0.009191361999981496,-52.16,97.82,58.52494877902931
12,0.009472409999979448,-95.74,119.08,59.27391896902932
13,0.009608309999975972,-153.74,167.24,63.39226797180363
14,0.010508384999972975,-182.34,176.9,63.152308455537025
15,0.011091761999971084,-183.34,184.98,64.02494973692065
16,0.011478711999970415,-47.0,78.28,62.436478685015324
17,0.011569871999967063,-1.08,26.36,61.141439435221
18,0.011634691999965696,-148.2,158.92,60.6202575351319
19,0.011746017999968217,-104.76,75.9,56.473275435847384
20,0.01231396999996548,-103.66,110.16,60.26655558444634
21,0.012428979999967282,-50.92,81.82,57.62723961892991
22,0.012601471999971636,-79.86,99.66,56.82795297254747
23,0.012700887999969268,-25.66,53.38,56.482126877435235
24,0.012864505999964138,-3.28,25.6,54.08372408651714
25,0.013212163999959614,-136.1,106.5,56.52852621870282
26,0.013353074999962189,-223.9,176.38,57.258546557182754
27,0.01386258299996257,-159.7,168.44,63.69131305786004
28,0.014026511999965408,-64.4,83.2,60.02086626826387
29,0.014470583999965925,-223.98,182.18,62.558102151238344
30,0.014743303999964041,-319.82,172.96,56.44928339760454
31,0.014931157999960476,-25.7,43.0,56.2773545092381
32,0.015054956999954072,-189.4,192.1,52.890328055620486
33,0.015215576999956681,-145.8,157.32,54.72751496972065
34,0.015505913999959375,-240.18,191.44,54.805063602103154
35,0.016375408999962815,-183.1,188.14,56.76175806771793
