iter,time,reward,steps,convergence
1,0.0169757,-198.44,197.0,79.8
2,0.044642978000000055,-193.42,195.4,29.2227894465408
3,0.05329930599999955,-141.14,152.06,27.690840157783384
4,0.06336286199999108,-123.42,142.0,23.47761557384886
5,0.07181530399999758,-7.76,35.64,20.632236149520473
6,0.08052341499998761,1.8,25.36,18.54245257756771
7,0.08898019899999099,4.22,25.14,17.589565577844006
8,0.09754821399999969,11.36,25.34,16.950366272489187
9,0.10633843100001172,4.0,25.28,14.473481131630649
10,0.11308495500000504,11.28,25.0,14.14076198735415
11,0.12361876700001062,10.32,24.96,11.8900621111102
12,0.13109771900002443,10.12,25.42,11.090550656595676
13,0.13971705700004122,0.06,25.06,9.955697846647382
14,0.1469293790000279,32.98,25.7,8.391140288050838
15,0.15732280600002468,36.82,26.32,6.933838688633676
16,0.17175962100003517,39.7,25.18,6.773196531171127
17,0.18168915200001834,38.92,25.38,5.660613535087101
18,0.19140371400001754,30.06,25.54,4.613877884132972
19,0.20043886000001976,36.34,25.06,4.262664456043964
20,0.21172071400002324,41.24,25.38,3.616540207306951
21,0.22104883900001937,41.06,25.56,3.414197693488944
22,0.23206960999999637,34.24,26.0,3.1424619595318433
23,0.241795317999987,37.66,25.48,2.677636812777912
24,0.2517222739999738,33.36,25.72,2.1739719490335325
25,0.2616329869999561,31.54,27.94,1.711582802161118
26,0.2718748299999447,38.86,27.76,1.2918102304002232
27,0.2809322199999542,33.84,26.4,1.0678805086876473
28,0.29119992399995454,28.78,27.98,0.91531278439194
29,0.30068001099994035,36.2,26.94,0.6763879625412024
30,0.30983866799994075,50.1,48.86,0.468948241136637
31,0.3188168789999679,47.08,49.2,0.3347461409209629
32,0.32757136199998627,50.84,48.26,0.30820493376025127
33,0.341973964999994,45.12,48.7,0.21926991581847943
34,0.34892498799999316,49.3,48.28,0.14440309503347137
35,0.35579871900000626,47.06,48.28,0.0913719905969721
36,0.36179815799999915,46.36,49.66,0.05627754869656698
37,0.368776964999995,43.68,50.1,0.03397069180426726
38,0.3755498029999842,45.56,48.18,0.02022168559563653
39,0.3812398209999799,43.34,48.26,0.011978092626158343
40,0.3867784619999668,48.4,46.86,0.007160765870239061
41,0.3935304609999548,49.94,47.1,0.004402877819170925
42,0.4011121329999412,48.58,47.88,0.002835625564610922
43,0.4084365699999637,46.88,48.96,0.0019293920366934003
44,0.4184385899999654,40.68,50.06,0.0013779815080567914
45,0.4229089799999599,50.2,47.96,0.0010151217218634656
46,0.42788029199996913,48.68,49.66,0.0007564001027233758
47,0.43276045799996155,48.92,46.2,0.0005614133691160816
48,0.4373874079999496,49.64,47.8,0.0004111208449195658
49,0.44379053799994495,47.98,47.9,0.000295638693145861
50,0.4487713719999533,47.74,47.52,0.00020847221724551446
51,0.4535163719999673,49.34,47.12,0.00014426145593304796
52,0.45858769999998117,48.74,49.1,9.817413685553333e-05
53,0.463168923999973,48.18,47.74,6.590882608747961e-05
54,0.47202237199996944,45.06,47.88,4.3818324343192216e-05
55,0.48424849099998823,47.86,46.24,2.897386197275864e-05
56,0.48881717699998717,41.68,48.18,1.913982279688753e-05
57,0.4940861749999783,48.52,49.14,1.2684511165872436e-05
58,0.5015470459999847,49.36,48.26,8.4624104097486e-06
59,0.5064386599999864,44.52,48.24,5.695493168644816e-06
60,0.5106864409999616,44.38,49.0,3.8695138258049155e-06
61,0.5154946259999633,49.06,49.86,2.6515756985645567e-06
62,0.519720030999963,47.36,47.1,1.8290637093798523e-06
63,0.5239064509999594,46.3,47.44,1.266871578309292e-06
64,0.529343555999958,43.26,47.84,8.787978451607614e-07
