iter,time,reward,steps,convergence
1,0.329334119,-299.0,300.0,83.8935897024
2,0.5302485259999998,-299.0,300.0,63.63369983324445
3,0.7518293299999999,-299.0,300.0,69.5962262261245
4,0.8849219749999993,-299.0,300.0,56.475128742554254
5,1.0265305359999992,-299.0,300.0,59.18872654189896
6,1.167278271999999,-188.04,212.57,54.96177295327308
7,1.3174836969999992,-6.0,53.69,53.22582553715445
8,1.4626976589999994,-9.58,53.8,51.056980654723986
9,1.6209230880000005,-20.1,52.57,51.73058567132501
10,1.7480271680000001,-13.76,52.94,49.89818102181974
11,1.8756333739999995,-7.7,52.63,18.835348425001357
12,1.9997104180000003,-6.52,54.71,13.346690623728474
13,2.128751832,0.57,65.19,8.142775927265992
14,2.2553823150000003,3.87,65.95,5.502170903508077
15,2.3924529780000006,1.74,66.78,1.0412381031077569
16,2.4551706309999997,0.02,66.23,0.004209904999555647
17,2.4739443669999988,-1.02,66.12,0.0002717673685737054
18,2.495585983999997,-8.02,66.92,0.00013157903218541378
19,2.517406525999996,8.41,65.86,6.304286128511194e-05
20,2.5574417299999963,0.23,66.64,2.9945695505517733e-05
21,2.6049407739999966,9.01,67.55,1.4122635271007766e-05
22,2.633092685999997,-0.19,67.37,6.620533060441858e-06
23,2.6626104529999965,-1.51,66.32,3.088052569211186e-06
24,2.6853985169999977,-1.05,66.31,1.434283152690341e-06
25,2.7050017659999988,0.97,66.41,6.637858298574884e-07
26,2.722560075999999,2.37,67.55,3.062671112274984e-07
27,2.739985964999999,5.89,66.13,1.4094499078964873e-07
28,2.7586349819999993,1.8,67.2,6.472048497130345e-08
29,2.7766382679999992,-0.46,65.71,2.9663109302191515e-08
30,2.7942173829999986,-0.01,66.25,1.3573533408361982e-08
31,2.8138693509999992,6.09,65.61,6.202565572266394e-09
32,2.833742997999998,3.95,67.1,2.8309870003795368e-09
33,2.8513079909999988,-3.73,66.97,1.2908145663459436e-09
34,2.8684203569999998,-0.51,66.51,5.880593789697741e-10
35,2.888304529999999,5.18,68.44,2.6771118655233295e-10
36,2.906199052,1.66,66.29,1.2179413033663877e-10
37,2.922872603,-0.59,67.25,5.537614811146341e-11
38,2.9402661199999987,-2.03,66.29,2.517097641430155e-11
39,2.958855055999999,0.85,66.81,1.1432632618380012e-11
40,2.981278140999999,-2.06,67.22,5.194067398406332e-12
41,2.9989499509999984,5.83,66.12,2.3590018827235326e-12
42,3.0174999249999974,5.81,66.06,1.0693668173189508e-12
43,3.0346664009999973,5.51,66.64,4.867217739956686e-13
44,3.0525025659999976,-4.41,67.5,2.2026824808563106e-13
45,3.0702792879999983,7.08,67.08,9.947598300641403e-14
46,3.087917051999998,6.26,67.5,4.263256414560601e-14
47,3.1050938169999984,9.96,66.0,2.1316282072803006e-14
48,3.1236539469999993,4.1,67.12,1.0658141036401503e-14
49,3.141426940999999,3.51,67.09,4.440892098500626e-16
50,3.1592055089999977,2.91,67.1,0.0
51,3.1771367019999985,5.1,66.05,0.0
52,3.1943191949999985,0.66,67.2,0.0
53,3.2122355659999986,-1.26,67.43,0.0
54,3.2294474729999987,2.52,67.73,0.0
55,3.247052220999999,3.19,67.35,0.0
56,3.264878636999999,-1.37,68.67,0.0
57,3.2822599510000003,7.72,66.5,0.0
58,3.2998666540000006,1.35,66.85,0.0
59,3.3173467740000007,-2.1,67.11,0.0
60,3.3341328479999994,2.61,67.4,0.0
61,3.352100877,2.17,65.57,0.0
62,3.369673065999999,-2.34,66.66,0.0
63,3.3863242599999985,5.28,66.53,0.0
64,3.410482805999999,-4.73,66.39,0.0
65,3.430779767999999,5.39,67.2,0.0
66,3.449706761,8.07,66.36,0.0
67,3.467651127,4.26,66.49,0.0
68,3.485035412,2.63,66.51,0.0
69,3.5026946410000015,4.75,67.17,0.0
70,3.519886661000001,-2.84,67.45,0.0
71,3.537115636000001,-1.0,66.68,0.0
72,3.562520100000002,0.18,65.93,0.0
73,3.580021482000001,1.94,66.81,0.0
74,3.596990248999999,5.76,65.53,0.0
75,3.614416265999999,5.73,65.66,0.0
76,3.6315250809999995,2.99,67.34,0.0
77,3.647994858999997,3.08,66.08,0.0
78,3.6672732499999974,2.96,67.45,0.0
79,3.691232185999999,6.35,65.69,0.0
80,3.709196971000001,1.92,66.84,0.0
81,3.7297456670000013,0.67,66.58,0.0
82,3.750344347000002,1.58,67.11,0.0
83,3.767890822000002,4.23,68.72,0.0
84,3.785328070000002,5.19,65.26,0.0
85,3.801606350000002,3.75,66.83,0.0
86,3.8189642300000024,4.01,66.69,0.0
87,3.841739643000004,-0.25,66.69,0.0
88,3.859608903000007,8.69,66.57,0.0
89,3.8776932950000056,5.59,66.57,0.0
90,3.895154567000006,-6.43,67.6,0.0
91,3.9121896840000048,0.54,66.29,0.0
92,3.9303784480000026,4.05,66.1,0.0
93,3.9475876390000018,3.07,66.62,0.0
94,3.965130256000002,6.72,65.93,0.0
95,3.986885606000005,-3.67,67.03,0.0
96,4.003373432000004,0.94,66.15,0.0
97,4.020352107000001,3.25,65.42,0.0
98,4.037685164999999,-0.72,67.53,0.0
99,4.054454423999999,2.53,66.45,0.0
100,4.077528650999998,2.93,67.18,0.0
