iter,time,reward,steps,convergence
1,0.0020364820000000616,-623.68,300.0,89.63851
2,0.0032003270000000583,-504.49,300.0,80.25537202680388
3,0.004902707999999922,-388.4,299.78,70.8739269800109
4,0.006174196999999992,-519.26,300.0,61.29263698001091
5,0.007987720000000031,-299.0,300.0,51.392861680966824
6,0.009752592999999976,-299.0,300.0,41.49286171516466
7,0.010827863000000049,-299.0,300.0,31.592863008193508
8,0.012677184000000175,-299.0,300.0,21.692869352783042
9,0.013869107000000103,-299.0,300.0,11.792887369241878
10,0.015002195000000107,-299.0,300.0,1.8928874167307768
11,0.01704801700000025,-299.0,300.0,1.3543791899874151
12,0.01831691900000032,-299.0,300.0,0.8375172693389288
13,0.019621093000000256,-299.0,300.0,0.31896236666701727
