steps,(All),,,
,,,,
Sum of steps,Column Labels,,,
Row Labels,Policy Iteration,Q Learning Optimal,Value Iteration,Grand Total
1,300,300,300,900
2,300,300,300,900
3,300,300,300,900
4,300,300,300,900
5,300,300,300,900
6,212.57,300,300,812.57
7,53.69,300,300,653.69
8,53.8,300,300,653.8
9,52.57,300,300,652.57
10,52.94,300,300,652.94
11,52.63,300,300,652.63
12,54.71,300,300,654.71
13,65.19,300,300,665.19
14,65.95,300,300,665.95
15,66.78,300,300,666.78
16,66.23,300,300,666.23
17,66.12,300,300,666.12
18,66.92,300,300,666.92
19,65.86,300,297.59,663.45
20,66.64,300,296.11,662.75
21,67.55,300,284.81,652.36
22,67.37,300,283.9,651.27
23,66.32,300,214.1,580.42
24,66.31,300,202.74,569.05
25,66.41,300,80.7,447.11
26,67.55,300,66.54,434.09
27,66.13,300,65.03,431.16
28,67.2,300,66.15,433.35
29,65.71,300,66.2,431.91
30,66.25,300,65.9,432.15
31,65.61,300,65.8,431.41
32,67.1,300,67.06,434.16
33,66.97,299.87,66.37,433.21
34,66.51,300,67.02,433.53
35,68.44,300,69.12,437.56
36,66.29,300,66.08,432.37
37,67.25,300,66.93,434.18
38,66.29,300,67.83,434.12
39,66.81,300,66.55,433.36
40,67.22,300,67.89,435.11
41,66.12,300,67.06,433.18
42,66.06,300,67.35,433.41
43,66.64,300,65.57,432.21
44,67.5,300,66.82,434.32
45,67.08,300,66.18,433.26
46,67.5,300,67.19,434.69
47,66,300,66.47,432.47
48,67.12,300,66.7,433.82
49,67.09,300,65.2,432.29
50,67.1,300,66.29,433.39
51,66.05,300,66.88,432.93
52,67.2,300,65.64,432.84
53,67.43,300,66.35,433.78
54,67.73,295.46,65.76,428.95
55,67.35,299.62,66.86,433.83
56,68.67,300,66.58,435.25
57,66.5,299.68,66.27,432.45
58,66.85,300,66.21,433.06
59,67.11,298.45,66,431.56
60,67.4,298.95,65.59,431.94
61,65.57,300,65.85,431.42
62,66.66,300,66.53,433.19
63,66.53,300,67.44,433.97
64,66.39,300,65.87,432.26
65,67.2,300,65.89,433.09
66,66.36,300,66.24,432.6
67,66.49,300,66.33,432.82
68,66.51,300,66.74,433.25
69,67.17,299.66,68.68,435.51
70,67.45,300,67.33,434.78
71,66.68,298.57,67.24,432.49
72,65.93,300,66.98,432.91
73,66.81,300,66.81,433.62
74,65.53,300,65.53,431.06
75,65.66,300,68.14,433.8
76,67.34,300,66.48,433.82
77,66.08,300,66.71,432.79
78,67.45,300,67.14,434.59
79,65.69,300,66.8,432.49
80,66.84,300,66.68,433.52
81,66.58,300,66.48,433.06
82,67.11,300,67.54,434.65
83,68.72,299.74,66.72,435.18
84,65.26,300,67.27,432.53
85,66.83,300,67.2,434.03
86,66.69,300,66.54,433.23
87,66.69,299.17,66.61,432.47
88,66.57,299.74,66.82,433.13
89,66.57,297.81,67.45,431.83
90,67.6,297.75,67.02,432.37
91,66.29,299.38,66.73,432.4
92,66.1,299.88,69.07,435.05
93,66.62,300,67.06,433.68
94,65.93,300,67.01,432.94
95,67.03,299.66,67.1,433.79
96,66.15,299,66.99,432.14
97,65.42,294.64,66.38,426.44
98,67.53,296.25,66.83,430.61
99,66.45,300,67.02,433.47
100,67.18,300,66.71,433.89
101,,297.34,,297.34
102,,277.39,,277.39
103,,289.1,,289.1
104,,289.93,,289.93
105,,298.83,,298.83
106,,298.88,,298.88
107,,296.84,,296.84
108,,300,,300
109,,300,,300
110,,300,,300
111,,300,,300
112,,298.46,,298.46
113,,300,,300
114,,300,,300
115,,300,,300
116,,300,,300
117,,300,,300
118,,300,,300
119,,300,,300
120,,300,,300
121,,300,,300
122,,300,,300
123,,300,,300
124,,300,,300
125,,300,,300
126,,300,,300
127,,300,,300
128,,300,,300
129,,300,,300
130,,300,,300
131,,300,,300
132,,300,,300
133,,300,,300
134,,300,,300
135,,299.98,,299.98
136,,297.12,,297.12
137,,300,,300
138,,295.69,,295.69
139,,300,,300
140,,295.16,,295.16
141,,295.5,,295.5
142,,298.73,,298.73
143,,298.11,,298.11
144,,300,,300
145,,300,,300
146,,297.3,,297.3
147,,299.04,,299.04
148,,297.06,,297.06
149,,299.28,,299.28
150,,296.62,,296.62
151,,297.51,,297.51
152,,294.34,,294.34
153,,299.3,,299.3
154,,298.72,,298.72
155,,300,,300
156,,296.05,,296.05
157,,300,,300
158,,297.91,,297.91
159,,299.84,,299.84
160,,294.88,,294.88
161,,300,,300
162,,297.89,,297.89
163,,291.38,,291.38
164,,296.44,,296.44
165,,292.95,,292.95
166,,292.96,,292.96
167,,299.83,,299.83
168,,300,,300
169,,288.32,,288.32
170,,298.99,,298.99
171,,297,,297
172,,299.92,,299.92
